,TIME,DEPTH,TEMP,PRES,PSAL,CNDC
135,19746.50445601852,25,5.128,27.0,35.1,33.67
136,19746.60158564815,25,5.006,28.0,35.096000000000004,33.555
137,19746.68579861111,25,3.818,28.0,35.061,32.453
138,19746.77496527778,25,3.571,27.0,35.058,32.229
139,19746.835682870373,25,3.479,27.0,35.054,32.144
140,19746.888148148148,25,2.86,27.0,35.032000000000004,31.574
141,19746.950717592594,25,1.842,28.0,34.953,30.613
142,19746.979247685184,25,-1.167,27.0,34.705,27.836000000000002
143,19747.784930555554,25,2.521,25.0,34.978,31.23
144,19747.948784722223,25,1.647,26.0,34.804,30.324
145,19748.02630787037,25,3.454,27.0,35.043,32.112
146,19748.120578703703,25,3.464,28.0,35.048,32.125
147,19748.199074074073,25,3.823,27.0,35.050000000000004,32.449
148,19748.295601851853,25,3.797,26.0,35.055,32.429
149,19748.370671296296,25,4.081,27.0,35.033,32.666000000000004
150,19748.46347222222,25,4.065,27.0,35.038000000000004,32.656
151,19748.541909722222,25,4.09,26.0,35.026,32.667
152,19748.61559027778,25,4.365,28.0,34.917,32.823
153,19748.713449074075,25,4.6850000000000005,26.0,34.794000000000004,33.005
154,19748.790277777778,25,4.729,27.0,34.827,33.074
155,19748.881620370372,25,4.479,25.0,34.791000000000004,32.818
156,19748.95673611111,25,4.993,27.0,34.754,33.248
157,19749.029583333333,25,4.69,27.0,34.646,32.884
158,19749.115439814814,25,4.479,28.0,34.669000000000004,32.715
159,19749.189837962964,25,4.668,27.0,34.704,32.914
160,19749.274016203704,25,4.553,25.0,34.481,32.62
161,19749.307546296295,25,4.1770000000000005,27.0,34.454,32.263
162,19754.2946875,25,6.061,26.0,33.438,33.045
163,19754.753703703704,25,6.795,27.0,34.392,34.557
164,19754.757025462965,25,5.3500000000000005,25.0,34.707,33.529
165,19754.80912037037,25,6.524,26.0,33.929,33.895
166,19754.859780092593,25,5.976,26.0,33.673,33.179
167,19754.902430555554,25,6.008,25.0,33.622,33.162
168,19754.94238425926,25,6.005,27.0,33.764,33.286
169,19754.991886574073,25,7.703,26.0,34.462,35.448
170,19755.050277777777,25,7.5040000000000004,26.0,34.75,35.532000000000004
171,19755.096018518518,25,7.757000000000001,25.0,34.907000000000004,35.909
172,19755.13902777778,25,7.8660000000000005,25.0,34.917,36.02
173,19755.185925925925,25,7.873,29.0,35.042,36.144
174,19755.220474537036,25,8.825000000000001,28.0,35.345,37.32
175,19755.255833333333,25,7.7940000000000005,29.0,35.333,36.34
176,19755.31465277778,25,8.017,26.0,35.341,36.555
177,19755.381944444445,25,8.155,26.0,35.354,36.696
178,19755.469652777778,25,8.393,27.0,35.375,36.941
179,19755.519409722223,25,5.079,26.0,34.499,33.106
180,19755.697060185186,25,8.641,28.0,35.388,37.187
181,19755.755937500002,25,8.667,26.0,35.385,37.208
182,19755.847743055554,25,5.274,26.0,34.52,33.298
183,19756.661180555555,25,8.742,25.0,35.386,37.278
184,19756.70986111111,25,8.743,33.0,35.372,37.271
185,19756.825868055555,25,8.332,29.0,35.323,36.835
186,19756.92451388889,25,8.761000000000001,27.0,35.373,37.286
187,19757.00337962963,25,8.545,26.0,35.361000000000004,37.07
188,19757.771747685187,25,5.1080000000000005,27.0,34.554,33.178
189,19758.295439814814,25,5.1370000000000005,26.0,34.550000000000004,33.201
190,19758.39622685185,25,8.314,27.0,35.343,36.836
191,19758.56642361111,25,8.437,27.0,35.285000000000004,36.897
192,19759.40496527778,25,7.953,25.0,35.245,36.405
193,19759.550474537038,25,8.143,27.0,35.223,36.564
194,19759.78295138889,25,8.445,28.0,35.258,36.88
195,19759.93091435185,25,8.025,27.0,35.34,36.561
196,19760.403541666667,25,8.364,26.0,35.359,36.898
197,19761.302037037036,25,5.472,26.0,34.718,33.649
198,19761.40579861111,25,4.7170000000000005,26.0,34.463,32.751
199,19761.519560185185,25,4.093,25.0,34.53,32.253
200,19761.55966435185,25,4.893,25.0,34.863,33.251
201,19761.668217592593,25,4.118,25.0,34.506,32.254
202,19761.670451388887,25,4.851,26.0,34.909,33.253
203,19761.77671296296,25,4.015,27.0,34.52,32.176
204,19761.815810185184,25,4.607,27.0,35.023,33.131
205,19761.899479166666,25,4.086,26.0,34.541000000000004,32.256
206,19761.985104166666,25,4.344,25.0,35.066,32.93
207,19762.00619212963,25,4.102,25.0,34.652,32.363
208,19762.11386574074,25,3.7920000000000003,26.0,34.62,32.061
209,19762.146331018517,25,4.853,25.0,35.09,33.410000000000004
210,19762.219178240743,25,3.787,25.0,34.626,32.061
211,19762.296377314815,25,4.99,25.0,35.078,33.524
