,TIME,DEPTH,PRES
230,19683.93388888889,25,27.0
231,19684.02965277778,25,27.0
232,19685.29045138889,25,26.0
233,19685.31355324074,25,26.0
234,19685.341608796294,25,26.0
235,19685.397696759257,25,26.0
236,19686.994618055556,25,28.0
237,19687.029293981483,25,28.0
238,19687.0784375,25,28.0
239,19687.13505787037,25,27.0
240,19687.2084375,25,27.0
241,19687.282349537036,25,26.0
242,19687.31769675926,25,26.0
243,19687.35542824074,25,26.0
