,TIME,DEPTH,PSAL
65,20071.989537037036,25,32.114
66,20072.0221875,25,32.088
67,20072.050717592592,25,32.115
68,20073.28447916667,25,32.082
69,20073.34996527778,25,32.238
70,20073.38314814815,25,32.492
71,20073.472916666666,25,32.531
72,20073.685868055556,25,32.103
73,20073.745752314815,25,32.160000000000004
74,20073.759131944444,25,32.628
75,20073.79061342593,25,32.532000000000004
76,20074.003113425926,25,32.082
77,20074.056122685186,25,32.316
78,20074.19755787037,25,32.668
79,20074.21377314815,25,32.686
80,20074.233032407406,25,32.682
81,20074.25298611111,25,32.742
82,20074.47297453704,25,34.908
83,20074.79840277778,25,32.588
84,20075.329976851852,25,32.492
85,20105.368425925928,25,33.836
86,20105.491157407407,25,33.954
87,20105.565208333333,25,34.157000000000004
88,20105.645069444447,25,34.716
89,20105.727037037035,25,35.33
90,20105.84525462963,25,35.308
91,20105.942650462963,25,
92,20106.084444444445,25,35.27
93,20106.17216435185,25,35.234
94,20106.313587962963,25,35.229
95,20106.449675925924,25,35.255
96,20106.626493055555,25,35.186
97,20106.76800925926,25,
98,20107.04533564815,25,35.144
99,20107.240069444444,25,
100,20108.79909722222,25,35.211
101,20108.933819444446,25,35.21
102,20109.113715277777,25,35.214
103,20109.357500000002,25,35.235
104,20109.48917824074,25,35.215
105,20109.61883101852,25,33.31
106,20109.721793981484,25,35.183
107,20109.85861111111,25,34.72
108,20109.923958333333,25,34.096000000000004
109,20109.965011574073,25,34.318
110,20110.03394675926,25,33.383
111,20110.711550925927,25,34.178
112,20110.779664351852,25,34.322
113,20110.82728009259,25,34.678
114,20110.87829861111,25,34.709
115,20110.943310185186,25,34.778
116,20110.99053240741,25,34.772
117,20111.04097222222,25,34.703
118,20111.134293981482,25,34.772
119,20111.212627314813,25,35.018
120,20111.32516203704,25,35.112
121,20111.40670138889,25,35.127
122,20111.482476851852,25,35.161
123,20111.554490740742,25,35.143
124,20111.651863425926,25,35.14
125,20111.736203703706,25,35.149
126,20111.825092592593,25,35.13
127,20111.878657407407,25,35.089
128,20111.92787037037,25,35.022
129,20111.990046296294,25,34.893
130,20112.014884259257,25,34.398
131,20112.8465625,25,33.596000000000004
132,20112.882604166665,25,
133,20113.01266203704,25,35.11
134,20113.151018518518,25,35.115
135,20113.197164351852,25,35.301
136,20113.305856481482,25,35.179
137,20113.327569444446,25,
138,20113.390509259258,25,35.383
139,20113.521805555556,25,35.374
140,20113.64170138889,25,35.424
141,20114.173356481482,25,35.113
142,20114.28491898148,25,35.121
143,20114.339930555554,25,35.408
144,20114.408518518518,25,35.119
145,20114.482349537036,25,35.417
146,20114.504375,25,35.077
147,20114.608877314815,25,35.064
148,20114.66741898148,25,
149,20114.689525462964,25,35.025
150,20114.76949074074,25,34.914
151,20114.87460648148,25,34.89
152,20114.956516203703,25,34.676
153,20115.05284722222,25,34.634
154,20115.129016203704,25,34.550000000000004
155,20115.22087962963,25,34.653
156,20115.239733796294,25,35.4
157,20115.295787037037,25,34.6
158,20115.375868055555,25,34.552
159,20115.38084490741,25,35.335
160,20115.479166666668,25,34.444
161,20115.50752314815,25,35.379
162,20115.514872685188,25,34.479
163,20115.692731481482,25,35.363
164,20116.34050925926,25,35.316
165,20116.487037037037,25,35.319
166,20116.723425925924,25,35.347
167,20116.869606481483,25,35.225
168,20116.94009259259,25,35.308
169,20117.098912037036,25,35.338
170,20117.153402777778,25,35.367
171,20117.206574074076,25,35.359
172,20117.30675925926,25,35.33
173,20117.38548611111,25,35.326
174,20117.431689814814,25,35.322
175,20117.486886574075,25,35.332
176,20117.54201388889,25,35.386
177,20117.568622685187,25,35.387
178,20117.60185185185,25,35.299
179,20117.62732638889,25,34.844
180,20117.667094907407,25,34.949
181,20117.693460648148,25,34.221000000000004
182,20117.727118055554,25,33.97
183,20117.75996527778,25,33.916000000000004
184,20117.829247685186,25,34.018
185,20117.86199074074,25,34.11
186,20117.90921296296,25,34.135
187,20117.943449074075,25,34.026
188,20118.007847222223,25,33.65
189,20118.037743055556,25,33.971000000000004
190,20118.07324074074,25,33.847
191,20118.09267361111,25,33.868
192,20118.431168981482,25,
