,TIME,DEPTH,PRES
573,20534.575069444447,25,27.0
574,20534.637210648147,25,28.0
575,20534.703240740742,25,26.0
576,20534.83096064815,25,26.0
577,20534.83471064815,25,26.0
578,20534.92579861111,25,26.0
579,20535.013680555556,25,28.0
580,20535.085034722222,25,28.0
581,20535.159641203703,25,27.0
582,20535.353310185186,25,29.0
583,20535.37040509259,25,27.0
584,20535.520127314816,25,29.0
585,20535.667997685185,25,27.0
586,20535.67724537037,25,27.0
587,20535.8381712963,25,27.0
588,20535.897326388887,25,26.0
589,20535.940162037037,25,30.0
590,20535.984652777777,25,27.0
591,20536.068217592594,25,28.0
592,20536.15329861111,25,27.0
593,20536.28892361111,25,26.0
594,20536.469166666666,25,28.0
595,20536.547974537036,25,26.0
596,20536.60087962963,25,29.0
597,20536.709201388887,25,25.0
598,20536.80318287037,25,26.0
599,20537.01087962963,25,28.0
600,20537.071469907405,25,28.0
601,20537.167395833334,25,28.0
602,20537.248969907407,25,26.0
603,20537.34865740741,25,26.0
604,20537.442881944444,25,28.0
605,20537.913900462965,25,26.0
606,20537.931724537037,25,27.0
607,20537.983946759257,25,25.0
608,20538.03,25,26.0
609,20538.040416666667,25,
610,20538.043530092593,25,26.0
611,20538.05822916667,25,28.0
612,20538.091412037036,25,28.0
613,20538.10855324074,25,28.0
614,20538.126296296297,25,33.0
615,20538.132708333334,25,27.0
616,20538.152037037038,25,26.0
617,20538.174976851853,25,26.0
618,20538.1946875,25,26.0
619,20538.214039351853,25,26.0
620,20538.24730324074,25,26.0
621,20538.256377314814,25,26.0
622,20538.28537037037,25,26.0
623,20538.301631944447,25,26.0
624,20538.305833333336,25,26.0
625,20538.34351851852,25,26.0
626,20538.3459837963,25,25.0
627,20538.45144675926,25,34.0
628,20538.48997685185,25,36.0
629,20538.526875,25,31.0
630,20538.531087962965,25,27.0
631,20538.57267361111,25,37.0
632,20538.62415509259,25,29.0
633,20538.68681712963,25,26.0
634,20538.792465277777,25,34.0
635,20538.805752314813,25,26.0
636,20538.871238425927,25,26.0
637,20538.923854166667,25,30.0
638,20538.971400462964,25,46.0
639,20539.02403935185,25,31.0
640,20539.15365740741,25,36.0
641,20539.192118055555,25,26.0
642,20539.24994212963,25,27.0
643,20539.28835648148,25,26.0
644,20539.32125,25,26.0
645,20539.383854166666,25,26.0
646,20539.444166666664,25,32.0
647,20539.493067129628,25,34.0
648,20539.650127314813,25,35.0
649,20539.72653935185,25,26.0
650,20539.800659722223,25,26.0
651,20539.892719907406,25,26.0
652,20539.93199074074,25,27.0
653,20539.968391203704,25,42.0
654,20540.02675925926,25,28.0
655,20540.028819444444,25,26.0
656,20540.096458333333,25,25.0
657,20540.125462962962,25,27.0
658,20540.206284722222,25,28.0
659,20540.281817129628,25,28.0
660,20540.462280092594,25,28.0
661,20540.56601851852,25,27.0
662,20540.691585648146,25,29.0
663,20540.73925925926,25,26.0
664,20540.84390046296,25,27.0
665,20540.92883101852,25,28.0
666,20541.025416666667,25,26.0
667,20541.0993287037,25,29.0
668,20541.176354166666,25,28.0
669,20541.262534722224,25,27.0
670,20541.429641203704,25,27.0
671,20541.481111111112,25,26.0
672,20541.572939814814,25,25.0
673,20541.65900462963,25,26.0
674,20541.71829861111,25,27.0
675,20541.869444444445,25,27.0
676,20541.960451388888,25,27.0
677,20541.96148148148,25,28.0
678,20542.021041666667,25,28.0
679,20542.080231481483,25,27.0
680,20542.09292824074,25,26.0
