,TIME,DEPTH,TEMP
157,19668.441435185185,25,10.476
158,19668.548333333332,25,10.396
159,19668.622893518517,25,10.421
160,19668.719050925927,25,10.824
161,19668.89613425926,25,10.697000000000001
162,19669.012800925924,25,10.775
163,19669.096412037037,25,11.002
164,19669.186550925926,25,11.162
165,19669.288194444445,25,10.898
166,19669.387314814816,25,11.067
167,19669.46125,25,11.035
168,19669.54097222222,25,10.534
169,19669.623726851853,25,11.071
170,19669.744930555556,25,10.97
171,19669.888703703702,25,10.781
172,19670.003194444445,25,11.07
173,19670.097962962962,25,10.929
174,19672.30861111111,25,10.271
175,19672.42976851852,25,10.121
176,19672.63351851852,25,10.093
177,19673.457476851854,25,10.38
178,19682.974791666667,25,10.96
179,19683.289097222223,25,11.547
180,19683.34252314815,25,10.394
181,19683.391180555554,25,9.849
182,19683.43263888889,25,9.434000000000001
183,19683.559675925924,25,11.384
184,19683.598541666666,25,11.789
185,19683.774791666667,25,12.366
186,19683.833819444444,25,12.818
187,19683.93388888889,25,11.728
188,19684.02965277778,25,9.862
189,19685.29045138889,25,9.259
190,19685.31355324074,25,9.742
191,19685.341608796294,25,10.665000000000001
192,19685.397696759257,25,11.706
193,19686.994618055556,25,9.749
194,19687.029293981483,25,9.726
195,19687.0784375,25,9.958
196,19687.13505787037,25,10.726
197,19687.2084375,25,10.837
198,19687.282349537036,25,11.589
199,19687.31769675926,25,11.423
200,19687.35542824074,25,11.105
