,TIME,DEPTH,TEMP
105,19654.268958333334,25,10.895
106,19654.604386574076,25,10.216000000000001
107,19654.92815972222,25,10.601
108,19655.120844907407,25,10.518
109,19655.357939814814,25,10.746
110,19655.462627314813,25,10.556000000000001
111,19655.818043981482,25,10.743
112,19655.903136574074,25,10.496
113,19656.016655092593,25,8.211
114,19656.1596875,25,10.536
115,19656.406516203704,25,10.315
116,19656.494247685183,25,11.688
117,19656.776574074076,25,10.466000000000001
118,19656.874131944445,25,10.537
119,19656.968402777777,25,10.531
120,19657.132002314815,25,10.281
121,19657.261273148146,25,12.233
122,19657.454305555555,25,10.361
123,19657.89130787037,25,10.540000000000001
124,19658.537083333333,25,12.417
125,19658.57284722222,25,11.537
126,19658.616921296296,25,10.47
127,19658.654513888887,25,10.703
128,19658.693842592595,25,11.127
129,19658.73386574074,25,11.282
130,19658.77496527778,25,10.427
131,19658.82096064815,25,10.963000000000001
132,19658.862233796295,25,10.52
133,19658.9021875,25,10.479000000000001
134,19658.940381944445,25,10.115
135,19658.97585648148,25,10.181000000000001
136,19659.11909722222,25,10.387
137,19659.169583333332,25,10.413
138,19659.220671296298,25,10.424
139,19659.28751157407,25,10.514
140,19659.35886574074,25,10.608
141,19659.407650462963,25,10.862
142,19659.58148148148,25,10.982000000000001
143,19659.628773148146,25,11.023
144,19659.65818287037,25,11.133000000000001
145,19659.687384259258,25,11.075000000000001
146,19659.71820601852,25,11.083
147,19659.877372685183,25,10.687
148,19659.990972222222,25,10.34
149,19660.166354166668,25,10.431000000000001
150,19660.280347222222,25,10.086
151,19660.340046296296,25,10.068
152,19660.680381944443,25,10.393
153,19660.75579861111,25,10.527000000000001
154,19660.879953703705,25,10.642
155,19661.001180555555,25,10.888
156,19661.196898148148,25,10.568
157,19661.295601851853,25,10.862
158,19661.37898148148,25,10.521
159,19662.969178240743,25,10.269
160,19663.037337962964,25,10.298
161,19663.232233796294,25,10.378
162,19663.406990740743,25,10.104000000000001
163,19663.59008101852,25,10.209
164,19663.824861111112,25,10.151
165,19663.976446759258,25,10.436
166,19664.265092592592,25,11.528
167,19664.315069444445,25,11.479000000000001
168,19664.357627314814,25,11.28
169,19664.403252314816,25,10.765
170,19664.46028935185,25,10.761000000000001
171,19664.508159722223,25,10.6
172,19664.556377314813,25,10.328
173,19664.60337962963,25,10.257
174,19664.73560185185,25,10.186
175,19664.785,25,10.47
176,19664.835833333334,25,10.28
177,19664.886284722223,25,10.224
178,19664.939837962964,25,10.364
179,19664.993819444444,25,10.369
180,19665.035625,25,10.28
181,19665.07630787037,25,10.388
182,19665.1146412037,25,10.672
183,19665.142974537037,25,10.598
184,19665.171886574073,25,10.4
185,19665.2005787037,25,10.512
186,19665.230497685185,25,10.562
187,19665.265439814815,25,10.223
188,19665.30255787037,25,10.264
189,19665.34545138889,25,10.391
190,19665.387280092593,25,10.290000000000001
