,TIME,DEPTH,TEMP,PRES
1729,19914.645185185185,25,9.888,25.0
1730,19914.829270833336,25,9.040000000000001,25.0
1731,19914.960821759258,25,12.64,25.0
1732,19915.095069444444,25,,
1733,19915.45335648148,25,9.818,25.0
1734,19915.582488425924,25,11.867,25.0
1735,19915.749618055557,25,14.173,25.0
1736,19916.29849537037,25,12.639000000000001,25.0
1737,19916.638842592594,25,10.033,25.0
1738,19916.739606481482,25,8.916,26.0
1739,19916.81795138889,25,10.085,25.0
1740,19916.88082175926,25,10.921,25.0
1741,19916.97769675926,25,9.974,26.0
1742,19917.045439814814,25,13.381,25.0
1743,19917.158055555556,25,13.349,26.0
1744,19917.22693287037,25,13.4,26.0
1745,19917.374641203704,25,13.544,26.0
1746,19917.420462962964,25,13.472,25.0
1747,19917.455011574075,25,13.46,25.0
1748,19917.61008101852,25,13.394,25.0
1749,19917.679166666665,25,13.082,25.0
1750,19917.743657407405,25,12.902000000000001,25.0
1751,19917.811377314814,25,12.503,25.0
1752,19917.87866898148,25,10.396,25.0
1753,19917.94423611111,25,11.573,25.0
1754,19918.008449074074,25,11.801,27.0
1755,19918.02275462963,25,11.815,25.0
1756,19918.554895833335,25,6.077,26.0
1757,19918.6509837963,25,12.496,25.0
1758,19918.810023148148,25,9.64,25.0
1759,19918.984965277778,25,8.4,25.0
1760,19919.1796875,25,5.806,27.0
1761,19919.19684027778,25,9.546,25.0
1762,19919.66144675926,25,6.132000000000001,26.0
1763,19920.282002314812,25,6.752,28.0
1764,19920.82375,25,5.226,28.0
1765,19921.323287037038,25,5.889,27.0
1766,19921.5259837963,25,9.122,25.0
1767,19921.740081018517,25,9.409,25.0
1768,19921.74050925926,25,6.38,27.0
1769,19921.998483796295,25,10.684000000000001,25.0
1770,19922.107858796295,25,10.06,25.0
1771,19922.222314814815,25,6.131,28.0
1772,19922.28755787037,25,11.368,25.0
1773,19922.49181712963,25,12.281,25.0
1774,19922.56258101852,25,13.196,25.0
1775,19922.64255787037,25,7.034,26.0
1776,19922.693599537037,25,10.634,25.0
1777,19922.881550925926,25,10.086,25.0
1778,19923.055775462963,25,11.525,25.0
1779,19923.14394675926,25,5.901,25.0
1780,19923.213854166668,25,11.84,25.0
1781,19923.515069444446,25,10.335,25.0
1782,19923.638842592594,25,9.404,25.0
1783,19923.841342592594,25,11.591000000000001,25.0
1784,19924.07810185185,25,13.342,25.0
1785,19924.162847222222,25,12.375,26.0
1786,19924.240868055556,25,13.079,25.0
1787,19924.48340277778,25,8.079,25.0
1788,19924.548368055555,25,8.067,25.0
1789,19924.679444444442,25,9.941,25.0
1790,19924.989212962962,25,12.193,25.0
1791,19925.11008101852,25,9.528,25.0
1792,19925.26457175926,25,8.13,25.0
1793,19925.376168981482,25,6.292,27.0
1794,19925.766041666666,25,9.157,25.0
1795,19925.975497685187,25,10.751,25.0
1796,19926.29087962963,25,5.648,26.0
1797,19926.53829861111,25,11.986,25.0
1798,19926.594178240743,25,11.755,30.0
1799,19926.633379629628,25,6.253,26.0
1800,19926.643194444445,25,11.339,37.0
1801,19926.68863425926,25,10.947000000000001,25.0
1802,19926.738877314816,25,11.761000000000001,25.0
1803,19926.789375,25,13.036,25.0
1804,19926.83945601852,25,12.099,25.0
1805,19926.890104166665,25,12.727,25.0
1806,19926.937627314815,25,11.783,26.0
1807,19926.94329861111,25,5.92,26.0
1808,19926.987175925926,25,12.19,26.0
1809,19927.036956018517,25,11.145,25.0
1810,19927.132534722223,25,9.639,27.0
1811,19927.182349537037,25,9.492,25.0
1812,19927.24798611111,25,9.914,25.0
1813,19927.361979166668,25,2.529,26.0
1814,19927.40310185185,25,9.83,25.0
1815,19927.491180555557,25,9.796,26.0
1816,19927.526631944445,25,9.716000000000001,25.0
1817,19927.55141203704,25,9.611,26.0
1818,19927.578240740742,25,8.611,25.0
1819,19927.60510416667,25,8.896,26.0
1820,19927.63195601852,25,8.116,27.0
1821,19927.703715277778,25,7.902,25.0
1822,19927.72365740741,25,5.546,26.0
1823,19927.73087962963,25,7.625,26.0
1824,19927.759328703705,25,8.521,25.0
1825,19927.794097222224,25,8.125,25.0
1826,19927.822916666668,25,8.029,26.0
1827,19927.85420138889,25,8.272,25.0
1828,19927.932395833333,25,8.445,26.0
1829,19927.96421296296,25,10.022,25.0
1830,19928.015011574073,25,11.592,26.0
1831,19928.086817129628,25,10.508000000000001,25.0
1832,19928.189386574075,25,11.658,25.0
1833,19928.21775462963,25,0.312,27.0
1834,19928.376319444444,25,8.435,25.0
1835,19928.389062500002,25,6.9190000000000005,26.0
1836,19928.44685185185,25,7.453,25.0
1837,19928.561018518518,25,8.944,26.0
1838,19928.585127314815,25,9.045,25.0
1839,19928.753391203703,25,10.289,25.0
1840,19928.867152777777,25,9.641,25.0
1841,19929.062997685185,25,9.213000000000001,25.0
1842,19929.28337962963,25,9.27,25.0
1843,19929.453229166666,25,9.613,25.0
1844,19929.620208333334,25,9.702,25.0
1845,19929.733946759257,25,9.622,25.0
1846,19929.895497685186,25,10.187,25.0
1847,19930.107881944445,25,8.796,26.0
1848,19930.20795138889,25,11.068,25.0
1849,19930.32097222222,25,11.845,25.0
1850,19930.40790509259,25,8.656,25.0
1851,19930.547141203704,25,11.588000000000001,25.0
1852,19930.76599537037,25,9.629,25.0
1853,19931.01695601852,25,11.067,25.0
1854,19931.190185185184,25,11.71,25.0
1855,19932.56679398148,25,12.116,25.0
1856,19932.856689814816,25,12.821,25.0
1857,19933.002800925926,25,12.399000000000001,25.0
1858,19933.099479166667,25,11.658,25.0
1859,19933.129699074074,25,12.75,25.0
1860,19933.20443287037,25,12.402000000000001,25.0
1861,19933.23253472222,25,12.314,26.0
1862,19933.280625,25,11.682,25.0
1863,19933.33989583333,25,11.906,26.0
1864,19933.39704861111,25,10.981,25.0
1865,19933.445324074073,25,10.844,26.0
1866,19933.494745370368,25,10.412,27.0
1867,19933.540543981482,25,10.435,25.0
1868,19933.588877314814,25,10.341000000000001,25.0
1869,19933.63642361111,25,10.542,25.0
1870,19933.725104166668,25,10.771,25.0
1871,19933.75337962963,25,11.391,25.0
1872,19933.782118055555,25,11.838000000000001,25.0
1873,19933.812384259258,25,10.916,25.0
1874,19933.883067129627,25,10.825000000000001,25.0
1875,19933.913634259257,25,8.826,25.0
1876,19934.000104166666,25,7.179,25.0
1877,19934.030729166665,25,8.461,25.0
1878,19934.068958333333,25,7.765000000000001,25.0
1879,19934.13755787037,25,7.71,25.0
1880,19934.169398148148,25,10.277000000000001,25.0
1881,19934.226041666665,25,9.967,25.0
1882,19937.115266203702,25,11.244,25.0
1883,19937.17983796296,25,8.774000000000001,25.0
1884,19937.246319444446,25,8.498,25.0
1885,19937.30335648148,25,8.724,25.0
1886,19937.361979166668,25,8.527000000000001,25.0
1887,19937.452025462964,25,9.644,26.0
1888,19937.523634259258,25,7.816,25.0
1889,19937.638761574075,25,11.319,25.0
1890,19937.714930555554,25,11.42,25.0
1891,19937.83056712963,25,11.439,25.0
1892,19937.954861111113,25,12.514000000000001,25.0
1893,19938.144814814816,25,11.509,25.0
1894,19938.281469907408,25,12.389000000000001,25.0
1895,19938.517233796298,25,10.882,26.0
1896,19938.70130787037,25,10.146,25.0
1897,19940.558344907407,25,10.087,25.0
1898,19940.795983796295,25,9.077,25.0
1899,19940.930416666666,25,8.909,26.0
1900,19941.188981481482,25,10.499,25.0
1901,19941.311597222222,25,12.045,26.0
1902,19941.49966435185,25,0.996,25.0
1903,19941.50130787037,25,10.872,25.0
1904,19941.573865740742,25,9.763,28.0
1905,19941.641527777778,25,8.151,25.0
1906,19941.680405092593,25,10.018,25.0
1907,19941.723958333332,25,9.399000000000001,26.0
1908,19942.19616898148,25,7.964,25.0
1909,19942.338784722222,25,9.168000000000001,25.0
1910,19942.481921296294,25,10.826,25.0
1911,19942.70875,25,8.695,25.0
1912,19942.958958333333,25,4.926,25.0
1913,19942.984722222223,25,9.08,25.0
1914,19943.218310185184,25,10.936,25.0
1915,19943.487222222222,25,9.045,26.0
1916,19943.565972222223,25,8.374,25.0
1917,19943.607268518517,25,9.08,25.0
1918,19943.709930555557,25,10.21,25.0
1919,19943.98261574074,25,9.218,25.0
1920,19944.409293981484,25,11.557,25.0
1921,19944.66184027778,25,8.831,25.0
1922,19944.857708333333,25,8.267,25.0
1923,19945.107418981483,25,7.531000000000001,26.0
1924,19945.39298611111,25,9.074,25.0
1925,19945.46039351852,25,7.502,25.0
1926,19945.66605324074,25,9.206,27.0
1927,19945.926006944446,25,9.359,25.0
1928,19946.19790509259,25,9.522,25.0
1929,19946.528402777778,25,9.682,25.0
1930,19946.59304398148,25,4.939,25.0
1931,19946.748333333333,25,1.796,25.0
1932,19946.77011574074,25,7.8260000000000005,25.0
1933,19947.51579861111,25,8.718,26.0
1934,19947.9696875,25,0.99,25.0
1935,19948.137175925924,25,3.364,25.0
1936,19948.462997685183,25,7.392,25.0
1937,19948.520324074074,25,7.7540000000000004,25.0
1938,19948.959212962964,25,6.343,27.0
1939,19949.14386574074,25,7.691,25.0
1940,19949.291770833333,25,9.619,25.0
1941,19949.335833333334,25,9.763,25.0
1942,19949.386840277777,25,9.92,25.0
1943,19949.435497685186,25,8.536,26.0
1944,19949.5234375,25,10.712,26.0
1945,19949.575659722224,25,11.506,25.0
1946,19949.624872685185,25,9.615,25.0
1947,19949.713726851853,25,9.288,25.0
1948,19949.785868055555,25,8.848,26.0
1949,19949.878773148146,25,8.351,25.0
1950,19949.895405092593,25,1.483,28.0
1951,19949.950960648148,25,8.239,26.0
1952,19949.975949074073,25,1.677,28.0
1953,19950.044050925924,25,10.544,28.0
1954,19950.09167824074,25,0.192,25.0
1955,19950.12628472222,25,10.066,27.0
1956,19950.170555555556,25,-0.9460000000000001,25.0
1957,19950.25321759259,25,7.812,25.0
1958,19950.28914351852,25,1.788,25.0
1959,19950.34849537037,25,6.819,25.0
1960,19950.414386574073,25,8.943,27.0
1961,19950.43597222222,25,7.3500000000000005,26.0
1962,19950.491631944446,25,8.36,27.0
1963,19950.541979166668,25,7.12,26.0
1964,19950.598460648147,25,7.6450000000000005,25.0
1965,19950.605601851854,25,2.239,27.0
1966,19950.635185185183,25,2.86,27.0
1967,19950.72474537037,25,7.26,25.0
1968,19950.863101851854,25,6.55,25.0
1969,19950.985254629628,25,7.5520000000000005,28.0
1970,19951.144976851854,25,7.355,25.0
1971,19951.171990740742,25,9.428,25.0
1972,19951.502777777776,25,6.5280000000000005,28.0
1973,19951.534097222222,25,3.508,25.0
1974,19951.76465277778,25,5.926,25.0
1975,19951.990555555556,25,6.8,25.0
1976,19951.997835648148,25,9.75,27.0
1977,19952.158715277776,25,6.4670000000000005,26.0
1978,19952.32851851852,25,4.5520000000000005,26.0
1979,19952.505717592594,25,6.303,29.0
1980,19952.570717592593,25,8.282,25.0
1981,19952.682708333334,25,7.444,26.0
1982,19952.859247685185,25,7.321,28.0
1983,19952.912893518518,25,7.7620000000000005,25.0
1984,19953.046307870372,25,7.405,28.0
1985,19953.18383101852,25,9.006,25.0
1986,19953.208159722224,25,4.363,26.0
1987,19953.370671296296,25,-1.635,28.0
1988,19953.4540625,25,10.178,25.0
1989,19953.4631712963,25,7.009,29.0
1990,19953.585925925927,25,6.756,27.0
1991,19953.679097222222,25,6.939,26.0
1992,19953.735173611112,25,9.634,25.0
1993,19953.74962962963,25,6.781000000000001,27.0
1994,19953.842430555556,25,7.071,26.0
1995,19954.035185185185,25,9.978,25.0
1996,19954.136145833334,25,6.939,26.0
1997,19954.296886574073,25,2.5540000000000003,27.0
1998,19954.305219907408,25,10.343,25.0
1999,19954.525706018518,25,3.297,27.0
2000,19954.54324074074,25,7.625,25.0
2001,19954.556736111113,25,5.535,25.0
2002,19955.13849537037,25,1.333,26.0
2003,19955.73017361111,25,0.489,27.0
2004,19955.75480324074,25,0.664,25.0
2005,19955.906030092592,25,0.577,28.0
2006,19955.92446759259,25,0.746,26.0
2007,19955.94240740741,25,1.068,26.0
2008,19955.970601851852,25,0.79,26.0
2009,19955.972164351853,25,0.978,26.0
2010,19955.987905092592,25,1.55,26.0
2011,19956.015694444442,25,1.304,26.0
2012,19956.02693287037,25,1.212,26.0
2013,19956.03809027778,25,0.931,26.0
